Id	Species	Latitude	Longitude	Zone	Basin	Centroid Size	Log Centroid Size	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32
AD19-001	p.latipinna	27.8188	-97.0734	Z2	7040048420	6.305988031923084	1.8414996632338312	-0.3266074361192418	0.03422774867003661	-0.2049385574001867	0.09135451339776365	0.03217281449266899	0.13480492063785326	0.19522962130066068	0.0980440391446147	0.3677183546943861	0.08191969945495162	0.3860141857301617	0.01201711287192338	0.38427333592475876	-0.05873616371648987	0.17745371532809337	-0.08109553486107558	0.1320740421244022	-0.10335140756440335	0.0038734050285117554	-0.1197253002968937	-0.21478372563622594	-0.060095911600776764	-0.22520203880531406	-0.05449463726666686	-0.1146070569847869	-0.00158116690130567	-0.09859962996881877	-0.04574252155407522	-0.27458223377481783	0.03434673775246662	-0.21948879593425316	0.03810787183207721
AD19-008	p.latipinna	27.8188	-97.0734	Z2	7040048420	4.540872749375362	1.5131192291236057	-0.3327315363050617	0.04646646122106789	-0.20462030785680663	0.08829850997686049	0.04616432819172374	0.13620276844455353	0.2057249662129768	0.08854310416146272	0.37198295383268803	0.06795298767415651	0.3827259849773088	0.0073131041753416205	0.3706785116900847	-0.05551717317017041	0.18099935387303268	-0.056661515561362494	0.13783522105002263	-0.08075958954109558	0.01219064664095328	-0.12270878259395658	-0.19836478779642697	-0.06928425245994327	-0.23067165764053868	-0.058003585505182476	-0.12819494668046366	-0.0059591842795497845	-0.11196957696969123	-0.047993482002725685	-0.27994223665281975	0.030805484061698616	-0.22180691656698126	0.03130514539884518
AD20-072	p.formosa	26.0223	-97.4582	Z1	7040048420	3.4467936038293643	1.2374444086980358	-0.3455252899762264	0.033496900472359724	-0.21413342152322512	0.09003678656533166	0.0781318676215683	0.13313760673168124	0.19851993104416918	0.09854819892418439	0.3825294694481458	0.07411772843450119	0.3841631109051748	0.0044148912720659485	0.36708080775692375	-0.06055170273035539	0.1709128997670048	-0.06876489840458098	0.1113103022323994	-0.0803511719747642	0.004488138077986748	-0.09570045398873733	-0.18929010036304636	-0.06844912552132287	-0.23828874769234945	-0.04904985503997641	-0.10384694682766261	-0.008362205281554477	-0.09402567788161811	-0.04723480729952331	-0.2872284818234313	0.02092892793721557	-0.22479786076581246	0.023783179903476816
AD20-073	p.formosa	26.0223	-97.4582	Z1	7040048420	4.587060095849791	1.5232393168699132	-0.33775921624180794	0.03281791626682228	-0.20390709375081054	0.08433538220706174	0.06408579308500775	0.13403306134662318	0.19495521795072498	0.10039298049787632	0.3814756800649412	0.07518202444424739	0.3920363288437006	0.008774228950367214	0.37259415439323906	-0.06142197181287253	0.16643740637094906	-0.06882651731599124	0.11530581552332	-0.08777496559334674	-2.4988016984520654E-5	-0.1007238429697259	-0.1901894760652508	-0.06852829412485058	-0.24351785225646108	-0.04764476076767009	-0.1127363509865676	-0.003051135128860776	-0.09716172432959326	-0.05022605237563394	-0.2799434395170921	0.023225323209749682	-0.22165025506731373	0.029436623166204087
AD20-074	p.formosa	26.0223	-97.4582	Z1	7040048420	3.7875285755224986	1.3317137154994354	-0.3438004207683071	0.02736633708983012	-0.21022171188622982	0.08516259762630615	0.0671702461261674	0.13598426879534808	0.1878986554143738	0.10213976721829274	0.38280779844690543	0.07023695741253697	0.4053292491901357	0.0031069991438016703	0.3693532668755118	-0.06504937809856008	0.1635260903143515	-0.06682317763356252	0.10490675159869406	-0.07989607866086768	-0.0030571983013096067	-0.0987198555565884	-0.1864731496361564	-0.07209570157928862	-0.2331258945866928	-0.05741426977753787	-0.10751547253935259	0.007435362573703799	-0.09442075026895284	-0.03842817150865799	-0.28410560417682285	0.02091358783996685	-0.2182718558023165	0.026080755115276202
AD20-075	p.formosa	26.0223	-97.4582	Z1	7040048420	3.3942099601935243	1.2220710270652744	-0.34106287841384847	0.037162136693661287	-0.2025354922355238	0.08722310227732658	0.053739017314573034	0.137854088567693	0.18496534016741695	0.10042408821085974	0.3891537860647055	0.07491097392524858	0.4039347934839536	0.006931039510985598	0.3803767203725343	-0.05902325177869992	0.14657787720438356	-0.07225661300573176	0.10225485840462176	-0.08854895036316042	-0.003879536625587353	-0.1045412152590683	-0.18181466532555843	-0.072963035861881	-0.2369748607062678	-0.05186592703059217	-0.09939079957146711	-0.001057518987100741	-0.09487286231691072	-0.03975307572967508	-0.2821576690245456	0.020399172450292886	-0.21831362879247826	0.025104986379842185
AD20-076	p.formosa	26.0223	-97.4582	Z1	7040048420	4.158115488005476	1.4250619639431978	-0.33773442724300257	0.02893942144588198	-0.20615783696634726	0.08052099994374072	0.06472867556148454	0.12892629058865387	0.19067785666498083	0.09667018160229748	0.38403677598428965	0.07317533822549836	0.3941882397731982	0.0030639728669480384	0.3741210218622478	-0.06365848136037183	0.17179634586955414	-0.06113082567702825	0.1192947347937344	-0.08096106799748039	-0.005713676213455098	-0.09224796883882179	-0.19309840187946267	-0.06792019211546285	-0.23290355675594088	-0.05399603078130145	-0.1166770724408596	-0.006070193630523823	-0.09917536120183601	-0.04323270626114415	-0.2827414197637282	0.024690455106677545	-0.2246418980448559	0.033230806882437666
AD20-077	p.formosa	26.0223	-97.4582	Z1	7040048420	3.5518810487549746	1.2674773360429807	-0.35346604187149105	0.02510638294154077	-0.21116884432070734	0.08227823673308132	0.06887839203289867	0.13276851936566614	0.18614479010927462	0.10292771901025113	0.3796812034048434	0.06943672953219705	0.40244079270968336	-0.00318036605133417	0.37217348866040934	-0.06770916982184529	0.1643019152151564	-0.060168673627301314	0.10562863682597355	-0.07906811635498859	0.005628292348675278	-0.09158357679732768	-0.1810905252854344	-0.06937110081427267	-0.23135733578833614	-0.05479433945305042	-0.10490300607370481	0.003876436852295878	-0.09298515961812376	-0.041845430355523565	-0.2866842376310826	0.023955960746261128	-0.22322236071803547	0.027370788094348453
AD20-078	p.formosa	26.0223	-97.4582	Z1	7040048420	4.133264475187138	1.4190675245751967	-0.333385991491977	0.030304239273253916	-0.2112007097894154	0.08253649021346819	0.06288614304120611	0.12589006123458582	0.18847318380900838	0.09372612590557182	0.39650719812081847	0.07103065048023682	0.40205062598943125	0.004681240512094019	0.371650634092427	-0.059481353127858835	0.16481913543841564	-0.0635495578894216	0.10335510206323678	-0.07905015055175968	-0.0025382952303889287	-0.09022663122223853	-0.18447499412994983	-0.06830860803486193	-0.23245130214630605	-0.051845434614585226	-0.1152676957023819	0.0020880219591023824	-0.10102306172512282	-0.04229581615995369	-0.2851614952913248	0.02004076738489991	-0.22423847704767913	0.024459954637464754
AD20-079	p.formosa	26.0223	-97.4582	Z1	7040048420	2.6065846384939144	0.9580407967854903	-0.3467427158562651	0.03403583759195616	-0.21120844179189	0.09520558647564602	0.0677721854854648	0.1402909673771355	0.18107143248498336	0.10038072770983122	0.387723044116354	0.06539840170926123	0.4079789414474487	-1.0779448734042629E-4	0.377113820816183	-0.06747797328881326	0.15287544564380592	-0.05533169829988918	0.09288515310350991	-0.0756577916185231	-0.00974811685425061	-0.09140017394979374	-0.1787392858938851	-0.07707203144746594	-0.23734917132772898	-0.058196267418644185	-0.09224528023941832	0.002914751656540213	-0.08269507438100626	-0.043984777889542075	-0.289199170597782	0.013016101957822792	-0.21949276615552063	0.0179861339218199
