ID,LABELS,X.COR,Y.COR
AD20-080,LM14,2896,1706
AD20-080,LM15,2591,1838
AD20-080,LM16,2700,1836
AD20-081,LM1,3125,1977
AD20-081,LM2,3349,2081
AD20-081,LM3,3795,2214
AD20-081,LM4,4005,2173
AD20-081,LM5,4336,2160
AD20-081,LM6,4369,2042
AD20-081,LM7,4336,1919
AD20-081,LM8,4024,1881
AD20-081,LM9,3942,1832
AD20-081,LM10,3737,1761
AD20-081,LM11,3396,1818
AD20-081,LM12,3300,1845
AD20-081,LM13,3504,1932
AD20-081,LM14,3536,1861
AD20-081,LM15,3220,1954
AD20-081,LM16,3319,1963
AD20-082,LM1,2518,2371
AD20-082,LM2,2731,2459
AD20-082,LM3,3158,2565
AD20-082,LM4,3374,2521
AD20-082,LM5,3677,2518
AD20-082,LM6,3709,2401
AD20-082,LM7,3671,2292
AD20-082,LM8,3352,2252
AD20-082,LM9,3279,2212
AD20-082,LM10,3071,2139
AD20-082,LM11,2778,2192
AD20-082,LM12,2663,2225
AD20-082,LM13,2865,2307
AD20-082,LM14,2894,2225
AD20-082,LM15,2598,2340
AD20-082,LM16,2695,2341
AD20-083,LM1,2723,1991
AD20-083,LM2,2938,2056
AD20-083,LM3,3448,2136
AD20-083,LM4,3707,2053
AD20-083,LM5,4018,2008
AD20-083,LM6,4040,1877
AD20-083,LM7,3988,1760
AD20-083,LM8,3632,1757
AD20-083,LM9,3542,1720
AD20-083,LM10,3315,1670
AD20-083,LM11,2957,1776
AD20-083,LM12,2874,1822
AD20-083,LM13,3078,1874
AD20-083,LM14,3097,1799
AD20-083,LM15,2800,1951
AD20-083,LM16,2903,1949
AD20-084,LM1,3035,1902
AD20-084,LM2,3237,1959
AD20-084,LM3,3641,2019
AD20-084,LM4,3816,1962
AD20-084,LM5,4102,1916
AD20-084,LM6,4126,1813
AD20-084,LM7,4087,1714
AD20-084,LM8,3785,1711
AD20-084,LM9,3715,1682
AD20-084,LM10,3524,1652
AD20-084,LM11,3255,1716
AD20-084,LM12,3180,1750
AD20-084,LM13,3358,1813
AD20-084,LM14,3372,1743
AD20-084,LM15,3111,1867
AD20-084,LM16,3202,1875
AD20-085,LM1,2780,2212
AD20-085,LM2,3002,2301
AD20-085,LM3,3475,2421
AD20-085,LM4,3730,2347
AD20-085,LM5,4022,2316
AD20-085,LM6,4058,2190
AD20-085,LM7,4011,2068
AD20-085,LM8,3677,2060
AD20-085,LM9,3598,2017
AD20-085,LM10,3378,1942
AD20-085,LM11,3021,2027
AD20-085,LM12,2952,2052
AD20-085,LM13,3138,2150
AD20-085,LM14,3169,2071
AD20-085,LM15,2866,2190
AD20-085,LM16,2968,2200
AD20-086,LM1,1965,2487
AD20-086,LM2,2177,2563
AD20-086,LM3,2633,2630
AD20-086,LM4,2953,2561
AD20-086,LM5,3339,2507
AD20-086,LM6,3350,2388
AD20-086,LM7,3315,2269
AD20-086,LM8,2898,2228
AD20-086,LM9,2809,2201
AD20-086,LM10,2555,2174
AD20-086,LM11,2181,2271
AD20-086,LM12,2107,2320
AD20-086,LM13,2329,2367
AD20-086,LM14,2352,2310
AD20-086,LM15,2051,2467
AD20-086,LM16,2150,2465
AD20-087,LM1,2496,2233
AD20-087,LM2,2701,2308
AD20-087,LM3,3126,2358
AD20-087,LM4,3434,2285
AD20-087,LM5,3703,2247
AD20-087,LM6,3730,2139
AD20-087,LM7,3675,2027
AD20-087,LM8,3365,2027
AD20-087,LM9,3291,1985
AD20-087,LM10,3056,1959
AD20-087,LM11,2677,2052
AD20-087,LM12,2643,2068
AD20-087,LM13,2841,2141
AD20-087,LM14,2865,2067
AD20-087,LM15,2571,2209
AD20-087,LM16,2665,2211
AD20-088,LM1,2382,2415
AD20-088,LM2,2586,2493
