Residuals,Location,Spp
0.1982953,Q1,lat
0.07810199,Q1,lat
0.127706506,Q1,lat
0.44381803,Q1,lat
0.86694818,Q1,lat
1.062845001,Q1,lat
0.06812349,Q1,lat
0.55471073,Q1,lat
0.238224772,Q1,lat
0.1159685,Q1,lat
0.34809818,Q1,lat
1.372670273,Q1,lat
0.3245928,Q1,lat
0.030295184,Q1,lat
0.68267145,Q1,lat
0.3520812,Q1,lat
0.83232507,Q1,lat
0.147265596,Q1,lat
1.10237123,Q1,lat
0.19677011,Q1,lat
0.082388923,Q1,lat
0.22604871,Q1,lat
0.5563391,Q1,lat
0.363779731,Q1,lat
0.8522248,Q1,lat
0.01822049,Q1,lat
0.965032444,Q1,lat
1.1956432,Q1,lat
0.168185297,Q1,lat
1.46812652,Q1,lat
0.1509926,Q1,lat
0.25749341,Q1,lat
0.572996067,Q1,lat
1.22252847,Q1,lat
0.82907208,Q1,lat
0.584307294,Q1,lat
0.34473891,Q1,lat
0.72480186,Q1,lat
0.226272887,Q1,lat
0.8880074,Q1,lat
0.60611199,Q1,lat
0.414883113,Q1,lat
0.6103778,Q1,lat
0.055105244,Q1,lat
1.02198957,Q1,lat
1.6022173,Q1,lat
1.45605238,Q1,lat
1.012298304,Q1,lat
0.19985158,Q1,lat
0.41976764,Q1,lat
0.667850873,Q1,lat
0.64871244,Q1,lat
0.19778126,Q1,lat
0.293468087,Q1,lat
0.1092095,Q1,lat
0.4259409,Q1,lat
0.444432101,Q1,lat
1.5648571,Q1,lat
0.072472286,Q1,lat
0.10951225,Q1,lat
0.3173126,Q1,lat
0.2473385,Q1,lat
0.187821199,Q1,lat
0.28191218,Q1,lat
0.01134406,Q1,lat
0.383018731,Q1,lat
0.15542296,Q1,lat
0.11320923,Q1,lat
0.684249936,Q1,lat
0.1213358,Q1,lat
1.2862819,Q1,lat
1.31568294,Q1,lat
0.7631971,Q1,lat
0.003198397,Q1,lat
0.35040801,Q1,lat
0.6443975,Q1,lat
0.8102932,Q1,lat
1.24447144,Q1,lat
0.29577277,Q1,lat
0.84090394,Q1,lat
0.309787352,Q1,lat
0.34454732,Q1,lat
9.82960781,Q1,lat
0.488700451,Q1,lat
1.56358561,Q1,form
0.106059336,Q1,form
0.075108534,Q1,form
0.6223752,Q1,form
0.188745961,Q1,form
0.86583848,Q1,form
0.209664967,Q1,form
1.083653731,Q1,form
0.30703555,Q1,form
0.05683895,Q1,form
1.336929485,Q1,form
0.391125604,Q1,form
0.285032983,Q1,form
0.347018078,Q1,form
2.75E-01,Q1,form
0.55955495,Q1,form
0.889035415,Q1,form
0.081057495,Q1,form
0.63173742,Q1,form
0.19059232,Q1,form
0.06154821,Q1,form
0.16822745,Q1,form
0.146599609,Q1,form
0.582222629,Q1,form
1.10165512,Q1,form
1.377186359,Q1,form
0.430167937,Q1,form
0.322686564,Q1,form
0.639782565,Q1,form
7.12E-01,Q1,form
0.33967862,Q1,form
0.011666651,Q1,form
0.067666523,Q1,form
1.60231817,Q1,form
0.144433333,Q1,form
0.12311913,Q1,form
0.795834633,Q1,form
0.427047353,Q1,form
0.649231849,Q1,form
0.01874904,Q1,form
2.370764526,Q1,form
0.454109625,Q1,form
0.381347037,Q1,form
0.030233513,Q1,form
2.54E-02,Q1,form
1.59986152,Q1,form
0.061912091,Q1,form
0.978432112,Q1,form
0.46188482,Q1,form
0.172128725,Q1,form
0.21231872,Q1,form
0.417397383,Q1,form
0.517140824,Q1,form
0.310359162,Q1,form
0.34650655,Q1,form
1.974617625,Q1,form
0.039744612,Q1,form
0.053849247,Q1,form
0.228223867,Q1,form
1.62E-01,Q1,form
0.27921875,Q1,form
0.914754608,Q1,form
0.156900934,Q1,form
0.25724847,Q1,form
0.883262059,Q1,form
2.03391953,Q1,form
1.174271883,Q1,form
0.62876447,Q1,form
0.011895464,Q1,form
0.30900847,Q1,form
1.766911426,Q1,form
0.131525363,Q1,form
0.183456679,Q1,form
0.16775684,Q1,form
2.13E-01,Q1,form
0.45274253,Q1,form
0.759046305,Q1,form
