Id	Species	Latitude	Longitude	Zone	Basin	RegResid1	RegResid2	RegResid3	RegResid4	RegResid5	RegResid6	RegResid7	RegResid8	RegResid9	RegResid10	RegResid11	RegResid12	RegResid13	RegResid14	RegResid15	RegResid16	RegResid17	RegResid18	RegResid19	RegResid20	RegResid21	RegResid22	RegResid23	RegResid24	RegResid25	RegResid26	RegResid27	RegResid28	RegResid29	RegResid30	RegResid31	RegResid32
AD19-001	p.latipinna	27.8188	-97.0734	Z2	7040048420	-0.33282844603698375	0.03314459588536091	-0.20705252408528538	0.09295383599299067	0.03416565291448724	0.13438222905961913	0.19330190831497668	0.09650995949306639	0.36863180424778863	0.0798128782218764	0.38756309339375017	0.010609318870418353	0.3843840630438743	-0.05884527497276897	0.17525135783215168	-0.08005200191437745	0.126706294468918	-0.10286357306243402	0.0028939746528995774	-0.11322534305908825	-0.21150424670508006	-0.06275332001117882	-0.22445307729059183	-0.058020150765443694	-0.10678934264150895	9.451785846258569E-4	-0.09204754223525388	-0.0439720291354358	-0.2788122892845565	0.03394092980721767	-0.21941068058958763	0.037432767005551655
AD19-008	p.latipinna	27.8188	-97.0734	Z2	7040048420	-0.33001348147384074	0.04693970731748415	-0.20369668332679491	0.08759974135824118	0.04529362646131533	0.13638744889057872	0.20656721363955663	0.08921336713540154	0.37158385368584185	0.06887349024637512	0.3820492434170478	0.007928191008146976	0.3706301333102013	-0.055469500785591146	0.18196159770660186	-0.05711745114172894	0.1401804724867957	-0.08097273193155094	0.01261857482294909	-0.12554871379589225	-0.19979764253714466	-0.06812318988908625	-0.2309988904356004	-0.05646323448105757	-0.13161062621173253	-0.007062983444663771	-0.11483228478631269	-0.04876703734755781	-0.27809406039741985	0.030982787789022057	-0.22184104636146287	0.03160010907187922
AD20-072	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.33726649544419146	0.034934856111994046	-0.21132699351062778	0.08791358199259001	0.07548624524208886	0.13369875724280667	0.2010790951792552	0.10058478925363878	0.38131680586511313	0.07691467039565665	0.38210683542710666	0.006283829202658646	0.3669338103179241	-0.06040685045417249	0.17383667231930308	-0.07015025613719124	0.1184363357177386	-0.08099880394620859	0.005788395485959314	-0.10432956919733893	-0.19364382154700202	-0.06492124333829973	-0.2392830427255163	-0.04436950699499501	-0.11422547014220352	-0.011716092923774417	-0.10272399970763765	-0.04958525092514221	-0.28161280852022685	0.021467664329472412	-0.2249015639570824	0.02467942538830694
AD20-073	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.3352750677649197	0.03325043644857213	-0.2030629531385277	0.08369674718774511	0.06329002092008554	0.13420184883517375	0.19572498449033576	0.10100556296924491	0.3811109250899768	0.07602331176357692	0.3914178253106375	0.009336383547587411	0.37254993928862773	-0.06137840194806263	0.16731684284371595	-0.06924321666455356	0.11744924277050423	-0.08796976569028671	3.6611415259346554E-4	-0.10331937956034973	-0.19149902430573168	-0.06746714856449013	-0.24381692453421763	-0.04623696700041402	-0.11585808900585855	-0.004059945173202928	-0.09977807745858507	-0.05093303823536741	-0.27825431088836233	0.02338736879437804	-0.22168144777027327	0.02970620329044894
AD20-074	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.33726720869783505	0.028503848031072483	-0.20800165552138233	0.08348301282868081	0.06507739686148575	0.13642817320275474	0.18992311091484787	0.10375083484703537	0.38184850731460274	0.07244950972996678	0.4037026094037333	0.004585443461522543	0.3692369829022181	-0.06493479108037932	0.16583897339382478	-0.06791908041035445	0.11054388033466406	-0.08040839519770027	-0.0020286150910679103	-0.10554601395290815	-0.18991720962338077	-0.06930493079888865	-0.2339124428277344	-0.05371182794745295	-0.11572551984458895	0.004782232126861286	-0.1013016553364142	-0.0402875163084703	-0.279663262807751	0.02133976130717717	-0.21835389137522285	0.026789740161082338
AD20-075	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.332537784790845	0.03864645821371586	-0.19963857290173856	0.08503143644846961	0.05100808867980795	0.13843333298712787	0.18760702277177466	0.10252634698033955	0.387902020987071	0.07779810133645469	0.4018122148319215	0.008860240046497572	0.3802249831032569	-0.05887372884152375	0.14959592477101422	-0.07368664063579851	0.10961066588809064	-0.08921746477750962	-0.002537353320993298	-0.11344857029153284	-0.18630876922385825	-0.06932139956925516	-0.23800121609188196	-0.047034664415093186	-0.11010397115865092	-0.004519550405857252	-0.10385165548608284	-0.042179307776769696	-0.2763609222377935	0.02095528002317097	-0.21842067582109137	0.02603013067756433
AD20-076	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.3330779766727891	0.02975016559651375	-0.20457552452730635	0.07932390064491766	0.06323702810740249	0.1292426769096079	0.1921207574720984	0.09781844629929347	0.3833530553746066	0.07475230226539042	0.39302887625044364	0.004117712254560299	0.3740381421749043	-0.06357681115276316	0.17344481918070326	-0.06191191422196547	0.12331251518014051	-0.08132621405493748	-0.004980568696941265	-0.09711321258325362	-0.19555310485226876	-0.06593111139199115	-0.23346415741699272	-0.051357169959868554	-0.12252866259950959	-0.00796117323577609	-0.10407962482887763	-0.04455792685094263	-0.2795752064557921	0.024994203961451515	-0.2247003676898203	0.03373612551976429
AD20-077	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.345739441176188	0.026451677221706858	-0.20854326154959685	0.08029185072185625	0.06640325263604065	0.13329350953373648	0.18853904260082782	0.1048330721697918	0.3785466834397947	0.07205343752970929	0.4005170229056341	-0.0014318618285952922	0.3720359636850662	-0.06757365177577576	0.1670372808847912	-0.06146475939121151	0.11229547120101499	-0.07967401514826317	0.006844761623161317	-0.09965663483406798	-0.18516369419605735	-0.06607055412763926	-0.23228755879664612	-0.050415591402309994	-0.11461274096870677	7.38672558992912E-4	-0.10112296462201367	-0.044044412214381226	-0.2814304363552633	0.024459981153458633	-0.22331938131185985	0.02820927983299017
AD20-078	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.32860368805829515	0.03113689592383789	-0.2095756311815186	0.08130703614735164	0.061354179878721105	0.1262149987307008	0.18995508281776866	0.09490542548588882	0.3958049981575498	0.07265023613438518	0.40085992760830347	0.005763459987120659	0.3715655143628413	-0.059397475567389314	0.1665121630905657	-0.06435175741331595	0.10748147356615788	-0.07942516564491729	-0.001785373548816917	-0.09522337101660702	-0.1869960419277323	-0.06626576715632276	-0.2330270545194596	-0.04913525161638613	-0.12127744052544955	1.4593364035841582E-4	-0.10605987601738898	-0.0436568543330033	-0.2819097067141687	0.020352725853965307	-0.22429852698908043	0.024978930844331216
AD20-079	p.formosa	26.0223	-97.4582	Z1	7040048420	-0.33422885514353745	0.03621465152365854	-0.20695609611193433	0.09198847213954583	0.06376349513400216	0.14114123182043428	0.18494911988878707	0.10346660272619405	0.38588559639797265	0.06963637396873802	0.404863239171562	0.0027240508689585496	0.3768910878895272	-0.06725849074798441	0.1573055936918337	-0.05743081502157778	0.10368263572931821	-0.07663909418663135	-0.007777945537971136	-0.10447515061565756	-0.18533611552401377	-0.0717265265946666	-0.2388557434435679	-0.05110452742017334	-0.10797098871396499	-0.0021671138188729	-0.09587491404684033	-0.047546208559602135	-0.2806902104520973	0.0138324041611806	-0.21964989892907297	0.01934413975645734
